Equipo;Corredor;Coef_historico;N_carreras;uci;Rating_historico;Color_gauge;victorias;victorias_pct;podiums;podiums_pct;top10;top10_pct;numero_cri;Coef_historico_old;N_carrers_old;uci_old;Rating_historico_old;Color_gauge_old;victorias_old;victorias_pct_old;podiums_old;podiums_pct_old;top10_old;top10_pct_old;numero_cri_old;Ranking;nacimiento
UAE Team Emirates;pogacar tadej;1.98;26;1443;97.0;#006400;7.0;26.92;14.0;53.85;22.0;84.62;26.0;1.822;22.0;773.0;94.0;#006400;5.0;22.73;10.0;45.45;18.0;81.82;22.0;1;1998-09-21
INEOS Grenadiers;ganna filippo;1.913;63;3802;95.0;#006400;26.0;41.27;42.0;66.67;54.0;85.71;63.0;1.914;54.0;3067.0;95.0;#006400;24.0;44.44;35.0;64.81;46.0;85.19;54.0;2;1996-07-25
Soudal Quick-Step;evenepoel remco;1.91;39;3278;95.0;#006400;16.0;41.03;30.0;76.92;36.0;92.31;39.0;1.845;33.0;2403.0;94.0;#006400;12.0;36.36;25.0;75.76;30.0;90.91;33.0;3;2000-01-25
Red Bull - BORA - hansgrohe;roglic primoz;1.9;60;2826;95.0;#006400;19.0;31.67;35.0;58.33;50.0;83.33;60.0;1.896;54.0;2431.0;95.0;#006400;18.0;33.33;31.0;57.41;45.0;8333;54.0;4;1989-10-29
INEOS Grenadiers;tarling joshua;1.837;12;905;94.0;#006400;5.0;41.67;9.0;75.0;11.0;91.67;12.0;1.809;8.0;575.0;93.0;#006400;4.0;50.0;7.0;87.5;7.0;87.5;8.0;5;2004-02-15
Team Visma | Lease a Bike;van aert wout;1.77;25;1735;93.0;#006400;8.0;32.0;16.0;64.0;21.0;84.0;25.0;1.915;21.0;1640.0;95.0;#006400;8.0;38.1;15.0;71.43;20.0;95.24;21.0;6;1994-09-15
UAE Team Emirates;almeida joao;1.691;35;805;91.0;#006400;3.0;8.57;11.0;31.43;27.0;77.14;35.0;1.671;29.0;582.0;91.0;#006400;2.0;6.9;10.0;34.48;22.0;75.86;29.0;7;1998-08-05
Groupama - FDJ;kung stefan;1.627;85;2954;90.0;#006400;21.0;24.71;38.0;44.71;62.0;72.94;85.0;1.64;75.0;2326.0;90.0;#006400;18.0;24.0;33.0;44.0;53.0;70.67;75.0;8;1993-11-16
INEOS Grenadiers;sheffield magnus;1.608;24;423;90.0;#006400;1.0;4.17;10.0;41.67;15.0;62.5;24.0;1.591;13.0;190.0;89.0;#008000;1.0;7.69;6.0;46.15;8.0;61.54;13.0;9;2002-04-19
INEOS Grenadiers;foss tobias;1.603;30;871;90.0;#006400;3.0;10.0;8.0;26.67;23.0;76.67;30.0;1.649;23.0;661.0;90.0;#006400;3.0;13.04;7.0;30.43;18.0;78.26;23.0;10;1997-05-25
Arkea - B&B Hotels;vauquelin kevin;1.536;17;156;88.0;#008000;1.0;5.88;4.0;23.53;11.0;64.71;17.0;1.411;9.0;39.0;86.0;#008000;0.0;0.0;2.0;22.22;6.0;66.67;9.0;11;2001-04-26
UAE Team Emirates;ayuso juan;1.525;20;303;88.0;#008000;4.0;20.0;5.0;25.0;15.0;75.0;20.0;1.329;12.0;180.0;84.0;#008000;2.0;16.67;2.0;16.67;9.0;75.0;12.0;12;2002-09-16
Team Visma | Lease a Bike;vingegaard jonas;1.52;26;687;88.0;#008000;2.0;7.69;9.0;34.62;18.0;69.23;26.0;1.394;21.0;397.0;86.0;#008000;2.0;9.52;7.0;33.33;13.0;61.9;21.0;13;1996-12-10
Soudal Quick-Step;asgreen kasper;1.458;46;982;87.0;#008000;5.0;10.87;12.0;26.09;31.0;67.39;46.0;1.55;37.0;810.0;89.0;#008000;5.0;13.51;11.0;29.73;27.0;72.97;37.0;14;1995-02-08
UAE Team Emirates;morgado antonio;1.44;2;50;86.0;#008000;1.0;50.0;1.0;50.0;1.0;50.0;2.0;;;;;;;;;;;;;15;2004-01-28
Movistar Team;cavagna remi;1.412;58;832;86.0;#008000;5.0;8.62;17.0;29.31;33.0;56.9;58.0;1.473;50.0;817.0;87.0;#008000;5.0;10.0;17.0;34.0;32.0;64.0;50.0;16;1995-08-10
INEOS Grenadiers;thomas geraint;1.399;89;1120;86.0;#008000;4.0;4.49;16.0;17.98;50.0;56.18;89.0;1.442;83.0;1015.0;86.0;#008000;4.0;4.82;16.0;19.28;48.0;57.83;83.0;17;1986-05-25
EF Education - EasyPost;bissegger stefan;1.378;41;936;85.0;#008000;5.0;12.2;14.0;34.15;25.0;60.98;41.0;1.479;29.0;818.0;87.0;#008000;5.0;17.24;11.0;37.93;20.0;68.97;29.0;18;1998-09-01
Lidl - Trek;skjelmose mattias;1.377;28;323;85.0;#008000;2.0;7.14;9.0;32.14;15.0;53.57;28.0;1.271;22.0;173.0;83.0;#008000;1.0;4.55;6.0;27.27;11.0;50.0;22.0;19;2000-09-26
Alpecin - Deceuninck;kragh andersen soren;1.376;40;200;85.0;#008000;2.0;5.0;7.0;17.5;20.0;50.0;40.0;1.43;36.0;198.0;86.0;#008000;2.0;5.56;7.0;19.44;19.0;52.78;36.0;20;1994-08-10
Alpecin - Deceuninck;van der poel mathieu;1.332;22;92;84.0;#008000;0.0;0.0;5.0;22.73;11.0;50.0;22.0;1.45;18.0;89.0;87.0;#008000;0.0;0.0;5.0;27.78;10.0;55.56;18.0;21;1995-01-19
INEOS Grenadiers;hayter ethan;1.327;24;472;84.0;#008000;3.0;12.5;9.0;37.5;17.0;70.83;24.0;1.574;17.0;431.0;89.0;#008000;3.0;17.65;8.0;47.06;13.0;76.47;17.0;22;1998-09-18
Red Bull - BORA - hansgrohe;schachmann maximilian;1.322;41;340;84.0;#008000;1.0;2.44;6.0;14.63;21.0;51.22;41.0;1.277;33.0;223.0;83.0;#008000;1.0;3.03;5.0;15.15;16.0;48.48;33.0;23;1994-01-09
Team Visma | Lease a Bike;affini edoardo;1.294;40;893;84.0;#008000;2.0;5.0;13.0;32.5;22.0;55.0;40.0;1.207;31.0;413.0;82.0;#008000;1.0;3.23;9.0;29.03;15.0;48.39;31.0;24;1996-06-02
INEOS Grenadiers;arensman thymen;1.292;32;400;84.0;#008000;1.0;3.12;4.0;12.5;13.0;40.62;32.0;1.287;23.0;200.0;84.0;#008000;1.0;4.35;3.0;13.04;9.0;39.13;23.0;25;1999-12-04
Red Bull - BORA - hansgrohe;martinez daniel felipe;1.28;38;301;83.0;#008000;4.0;10.53;6.0;15.79;17.0;44.74;38.0;1.229;32.0;211.0;82.0;#008000;3.0;9.38;5.0;15.62;14.0;43.75;32.0;26;1996-04-25
UAE Team Emirates;vine jay;1.275;20;470;83.0;#008000;2.0;10.0;5.0;25.0;10.0;50.0;20.0;1.127;13.0;140.0;80.0;#008000;1.0;7.69;1.0;7.69;5.0;38.46;13.0;27;1995-11-16
Lidl - Trek;vacek mathias;1.273;14;263;83.0;#008000;1.0;7.14;4.0;28.57;7.0;50.0;14.0;0.97;8.0;23.0;78.0;#ADFF2F;0.0;0.0;1.0;12.5;3.0;37.5;8.0;28;2002-06-12
UAE Team Emirates;bjerg mikkel;1.27;46;742;83.0;#008000;1.0;2.17;9.0;19.57;27.0;58.7;46.0;1.246;37.0;557.0;83.0;#008000;1.0;2.7;7.0;18.92;22.0;59.46;37.0;29;1998-11-03
Red Bull - BORA - hansgrohe;sobrero matteo;1.264;33;330;83.0;#008000;2.0;6.06;4.0;12.12;15.0;45.45;33.0;1.31;29.0;330.0;84.0;#008000;2.0;6.9;4.0;13.79;15.0;51.72;29.0;30;1997-05-01
Groupama - FDJ;gregoire romain;1.238;10;8;83.0;#008000;0.0;0.0;0.0;0.0;3.0;30.0;10.0;1.125;4.0;0.0;80.0;#008000;0.0;0.0;0.0;0.0;1.0;25.0;4.0;31;2003-01-21
Decathlon AG2R La Mondiale Team;armirail bruno;1.212;58;530;82.0;#008000;3.0;5.17;7.0;12.07;24.0;41.38;58.0;1.164;46.0;340.0;81.0;#008000;2.0;4.35;6.0;13.04;17.0;36.96;46.0;32;1994-04-11
Red Bull - BORA - hansgrohe;kamna lennard;1.188;32;124;82.0;#008000;1.0;3.12;2.0;6.25;8.0;25.0;32.0;1.186;31.0;124.0;82.0;#008000;1.0;3.23;2.0;6.45;8.0;25.81;31.0;33;1996-09-09
Cofidis;thomas benjamin;1.175;49;230;81.0;#008000;3.0;6.12;9.0;18.37;19.0;38.78;49.0;1.218;42.0;223.0;82.0;#008000;3.0;7.14;9.0;21.43;16.0;38.1;42.0;34;1987-11-30
Arkea - B&B Hotels;guernalec thibault;1.172;45;117;81.0;#008000;0.0;0.0;2.0;4.44;19.0;42.22;45.0;1.235;34.0;54.0;83.0;#008000;0.0;0.0;1.0;2.94;17.0;50.0;34.0;35;1997-07-31
Soudal Quick-Step;van wilder ilan;1.169;23;76;81.0;#008000;0.0;0.0;0.0;0.0;10.0;43.48;23.0;1.072;16.0;48.0;79.0;#ADFF2F;0.0;0.0;0.0;0.0;8.0;50.0;16.0;36;2000-05-01
Lidl - Trek;pedersen mads;1.168;46;198;81.0;#008000;4.0;8.7;12.0;26.09;23.0;50.0;46.0;1.181;39.0;154.0;82.0;#008000;3.0;7.69;8.0;20.51;19.0;48.72;39.0;37;1995-12-18
Red Bull - BORA - hansgrohe;vlasov aleksandr;1.16;34;271;81.0;#008000;2.0;5.88;2.0;5.88;11.0;32.35;34.0;1.133;28.0;238.0;81.0;#008000;2.0;7.14;2.0;7.14;10.0;35.71;28.0;38;1996-04-02
Cofidis;coppens michiel;1.159;1;0;81.0;#008000;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;39;2002-12-17
Soudal Quick-Step;cattaneo mattia;1.151;61;494;81.0;#008000;2.0;3.28;9.0;14.75;29.0;47.54;61.0;1.145;56.0;356.0;81.0;#008000;2.0;3.57;7.0;12.5;26.0;46.43;56.0;40;1990-10-25
Soudal Quick-Step;lampaert yves;1.146;61;707;81.0;#008000;6.0;9.84;14.0;22.95;31.0;50.82;61.0;1.216;56.0;647.0;82.0;#008000;5.0;8.93;13.0;23.21;30.0;53.57;56.0;41;1991-04-10
Red Bull - BORA - hansgrohe;jungels bob;1.142;77;370;81.0;#008000;6.0;7.79;12.0;15.58;27.0;35.06;77.0;1.197;71.0;370.0;82.0;#008000;6.0;8.45;12.0;16.9;27.0;38.03;71.0;42;1992-09-22
Team Visma | Lease a Bike;jorgenson matteo;1.138;17;200;81.0;#008000;0.0;0.0;1.0;5.88;4.0;23.53;17.0;0.943;14.0;40.0;77.0;#ADFF2F;0.0;0.0;1.0;7.14;1.0;7.14;14.0;43;1999-07-01
INEOS Grenadiers;hayter leo;1.135;3;0;81.0;#008000;0.0;0.0;0.0;0.0;1.0;33.33;3.0;1.135;3.0;0.0;81.0;#008000;0.0;0.0;0.0;0.0;1.0;33.33;3.0;44;2001-08-10
UAE Team Emirates;mcnulty brandon;1.132;46;796;81.0;#008000;5.0;10.87;8.0;17.39;24.0;52.17;46.0;1.093;38.0;401.0;80.0;#008000;1.0;2.63;4.0;10.53;19.0;50.0;38.0;45;1998-04-02
Red Bull - BORA - hansgrohe;herzog emil;1.129;3;5;81.0;#008000;0.0;0.0;0.0;0.0;2.0;66.67;3.0;;;;;;;;;;;;;46;2004-10-06
Movistar Team;milesi lorenzo;1.125;11;41;80.0;#008000;0.0;0.0;0.0;0.0;3.0;27.27;11.0;0.91;4.0;1.0;76.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;25.0;4.0;47;2002-03-19
UAE Team Emirates;politt nils;1.118;55;243;80.0;#008000;2.0;3.64;7.0;12.73;21.0;38.18;55.0;1.149;47.0;178.0;81.0;#008000;1.0;2.13;6.0;12.77;19.0;40.43;47.0;48;1994-03-06
Soudal Quick-Step;cerny josef;1.107;46;282;80.0;#008000;4.0;8.7;7.0;15.22;21.0;45.65;46.0;1.08;38.0;232.0;80.0;#008000;4.0;10.53;6.0;15.79;18.0;47.37;38.0;49;1993-05-11
Red Bull - BORA - hansgrohe;lipowitz florian;1.107;8;23;80.0;#008000;0.0;0.0;0.0;0.0;2.0;25.0;8.0;1.065;3.0;3.0;79.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;33.33;3.0;50;2000-09-21
INEOS Grenadiers;rodriguez carlos;1.106;18;77;80.0;#008000;0.0;0.0;1.0;5.56;5.0;27.78;18.0;1.064;10.0;67.0;79.0;#ADFF2F;0.0;0.0;1.0;10.0;4.0;40.0;10.0;51;2001-02-02
UAE Team Emirates;christen jan;1.106;11;23;80.0;#008000;0.0;0.0;1.0;9.09;2.0;18.18;11.0;1.041;2.0;0.0;79.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;2.0;52;2004-06-26
Team dsm-firmenich PostNL;bevin patrick;1.104;39;465;80.0;#008000;2.0;5.13;6.0;15.38;18.0;46.15;39.0;1.104;39.0;465.0;80.0;#008000;2.0;5.13;6.0;15.38;18.0;46.15;39.0;53;1991-02-15
Team Visma | Lease a Bike;tratnik jan;1.1;57;386;80.0;#008000;6.0;10.53;10.0;17.54;26.0;45.61;57.0;1.131;50.0;386.0;81.0;#008000;6.0;12.0;10.0;20.0;25.0;50.0;50.0;54;1990-02-02
Lidl - Trek;hoole daan;1.098;22;191;80.0;#008000;1.0;4.55;4.0;18.18;11.0;50.0;22.0;1.049;14.0;86.0;79.0;#ADFF2F;0.0;0.0;3.0;21.43;8.0;57.14;14.0;55;1999-02-22
Team Jayco AlUla;yates simon;1.097;46;290;80.0;#008000;2.0;4.35;3.0;6.52;8.0;17.39;46.0;1.106;42.0;270.0;80.0;#008000;2.0;4.76;3.0;7.14;8.0;19.05;42.0;56;1992-08-07
Cofidis;izagirre ion;1.094;94;320;80.0;#008000;3.0;3.19;10.0;10.64;39.0;41.49;94.0;1.145;89.0;319.0;81.0;#008000;3.0;3.37;10.0;11.24;38.0;42.7;89.0;57;1989-02-04
Team Jayco AlUla;durbridge luke;1.089;73;371;80.0;#008000;6.0;8.22;12.0;16.44;29.0;39.73;73.0;1.108;70.0;371.0;80.0;#008000;6.0;8.57;12.0;17.14;29.0;41.43;70.0;58;1991-04-09
Soudal Quick-Step;alaphilippe julian;1.06;42;259;79.0;#ADFF2F;3.0;7.14;6.0;14.29;14.0;33.33;42.0;1.102;37.0;229.0;80.0;#008000;3.0;8.11;5.0;13.51;13.0;35.14;37.0;59;1992-06-11
Team Jayco AlUla;walscheid max;1.06;45;124;79.0;#ADFF2F;0.0;0.0;2.0;4.44;17.0;37.78;45.0;1.017;37.0;109.0;78.0;#ADFF2F;0.0;0.0;2.0;5.41;13.0;35.14;37.0;60;1993-06-01
UAE Team Emirates;wellens tim;1.056;53;211;79.0;#ADFF2F;4.0;7.55;5.0;9.43;20.0;37.74;53.0;1.016;46.0;96.0;78.0;#ADFF2F;2.0;4.35;3.0;6.52;16.0;34.78;46.0;61;1991-05-10
Bahrain - Victorious;wright fred;1.045;23;70;79.0;#ADFF2F;0.0;0.0;2.0;8.7;5.0;21.74;23.0;1.123;18.0;70.0;80.0;#008000;0.0;0.0;2.0;11.11;5.0;27.78;18.0;62;1999-06-01
UAE Team Emirates;grossschartner felix;1.043;52;215;79.0;#ADFF2F;2.0;3.85;6.0;11.54;16.0;30.77;52.0;1.012;43.0;110.0;78.0;#ADFF2F;1.0;2.33;3.0;6.98;10.0;23.26;43.0;63;1993-12-02
Bahrain - Victorious;tiberi antonio;1.034;26;141;79.0;#ADFF2F;0.0;0.0;3.0;11.54;11.0;42.31;26.0;0.74;19.0;16.0;73.0;#ADFF2F;0.0;0.0;0.0;0.0;5.0;26.32;19.0;64;2001-06-02
Movistar Team;oliveira nelson;1.032;97;1017;79.0;#ADFF2F;0.0;0.0;5.0;5.15;30.0;30.93;97.0;1.033;85.0;977.0;79.0;#ADFF2F;0.0;0.0;5.0;5.88;30.0;35.29;85.0;65;1989-03-06
UAE Team Emirates;bax sjoerd;1.022;13;43;78.0;#ADFF2F;0.0;0.0;2.0;15.38;4.0;30.77;13.0;0.866;7.0;23.0;76.0;#ADFF2F;0.0;0.0;1.0;14.29;3.0;42.86;7.0;66;1996-01-06
UAE Team Emirates;yates adam;1.016;54;153;78.0;#ADFF2F;0.0;0.0;2.0;3.7;14.0;25.93;54.0;0.979;45.0;83.0;78.0;#ADFF2F;0.0;0.0;1.0;2.22;12.0;26.67;45.0;67;1992-08-07
Team Visma | Lease a Bike;kelderman wilco;1.013;76;167;78.0;#ADFF2F;0.0;0.0;3.0;3.95;21.0;27.63;76.0;1.03;70.0;165.0;79.0;#ADFF2F;0.0;0.0;3.0;4.29;20.0;28.57;70.0;68;1991-03-25
EF Education - EasyPost;healy ben;1.003;18;148;78.0;#ADFF2F;1.0;5.56;3.0;16.67;8.0;44.44;18.0;0.973;13.0;113.0;78.0;#ADFF2F;1.0;7.69;3.0;23.08;5.0;38.46;13.0;69;2000-09-11
INEOS Grenadiers;castroviejo jonathan;0.978;99;1083;78.0;#ADFF2F;7.0;7.07;18.0;18.18;42.0;42.42;99.0;1.1;92.0;1083.0;80.0;#008000;7.0;7.61;18.0;19.57;42.0;45.65;92.0;70;1987-04-27
EF Education - EasyPost;powless neilson;0.978;41;82;78.0;#ADFF2F;0.0;0.0;3.0;7.32;12.0;29.27;41.0;0.951;36.0;52.0;77.0;#ADFF2F;0.0;0.0;2.0;5.56;10.0;27.78;36.0;71;1996-09-03
Cofidis;knight oliver;0.974;7;5;78.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;14.29;7.0;1.014;2.0;0.0;78.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;2.0;72;2001-01-25
Movistar Team;mas enric;0.971;43;0;78.0;#ADFF2F;0.0;0.0;0.0;0.0;6.0;13.95;43.0;0.969;34.0;0.0;77.0;#ADFF2F;0.0;0.0;0.0;0.0;6.0;17.65;34.0;73;1995-01-07
Movistar Team;barta will;0.956;32;130;77.0;#ADFF2F;0.0;0.0;3.0;9.38;8.0;25.0;32.0;0.999;27.0;130.0;78.0;#ADFF2F;0.0;0.0;3.0;11.11;8.0;29.63;27.0;74;1996-01-04
EF Education - EasyPost;steinhauser georg;0.939;11;25;77.0;#ADFF2F;0.0;0.0;0.0;0.0;3.0;27.27;11.0;0.958;6.0;25.0;77.0;#ADFF2F;0.0;0.0;0.0;0.0;3.0;50.0;6.0;75;2001-10-21
Team Visma | Lease a Bike;van dijke mick;0.937;15;30;77.0;#ADFF2F;0.0;0.0;1.0;6.67;3.0;20.0;15.0;1.008;10.0;0.0;78.0;#ADFF2F;0.0;0.0;0.0;0.0;2.0;20.0;10.0;76;2000-03-15
Decathlon AG2R La Mondiale Team;o'connor ben;0.931;40;111;77.0;#ADFF2F;0.0;0.0;0.0;0.0;7.0;17.5;40.0;0.855;34.0;31.0;75.0;#ADFF2F;0.0;0.0;0.0;0.0;6.0;17.65;34.0;77;1995-11-25
UAE Team Emirates;fisher-black finn;0.921;18;65;77.0;#ADFF2F;0.0;0.0;1.0;5.56;6.0;33.33;18.0;0.815;14.0;40.0;75.0;#ADFF2F;0.0;0.0;1.0;7.14;4.0;28.57;14.0;78;2001-12-21
Team dsm-firmenich PostNL;poole max;0.918;10;2;77.0;#ADFF2F;0.0;0.0;0.0;0.0;2.0;20.0;10.0;0.676;5.0;2.0;72.0;#ADFF2F;0.0;0.0;0.0;0.0;1.0;20.0;5.0;79;2003-03-01
Movistar Team;romeo ivan;0.908;12;7;76.0;#ADFF2F;0.0;0.0;0.0;0.0;5.0;41.67;12.0;0.479;6.0;1.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;16.67;6.0;80;2003-08-16
INEOS Grenadiers;kwiatkowski michal;0.907;74;391;76.0;#ADFF2F;3.0;4.05;9.0;12.16;28.0;37.84;74.0;0.976;69.0;391.0;78.0;#ADFF2F;3.0;4.35;9.0;13.04;28.0;40.58;69.0;81;1990-06-02
INEOS Grenadiers;swift connor;0.9;29;45;76.0;#ADFF2F;0.0;0.0;2.0;6.9;8.0;27.59;29.0;0.989;24.0;35.0;78.0;#ADFF2F;0.0;0.0;2.0;8.33;7.0;29.17;24.0;82;1995-10-30
